Dog_Name,Dog_Breed,Location_masked,Latitude_masked,Longitude_masked,Neighborhood
Beaux,Labrador Retriever,POINT (-71.1085 42.362),42.36200,-71.10850,Cambridgeport
Peaches,Shiba Inu,POINT (-71.1223 42.3845),42.38450,-71.12230,Neighborhood Nine
Benji,Flat-Coated Retriever,POINT (-71.1039 42.374),42.37400,-71.10390,Mid-Cambridge
Quinta,Mixed Breed,POINT (-71.1152 42.3823),42.38230,-71.11520,Baldwin
Pasco,Mixed Breed,POINT (-71.1307 42.3962),42.39620,-71.13070,North Cambridge
Mia,Maltipoo,POINT (-71.128 42.3952),42.39520,-71.12800,North Cambridge
Juneau,Mixed Breed,POINT (-71.1282 42.3818),42.38180,-71.12820,Neighborhood Nine
CLARK,Long Hair Chihuahua,POINT (-71.1484 42.3758),42.37580,-71.14840,West Cambridge
ZURI,Labrador Retriever X,POINT (-71.1409 42.3731),42.37310,-71.14090,West Cambridge
Trooper,Pembroke Welsh Corgi,POINT (-71.1485 42.3973),42.39730,-71.14850,North Cambridge
Yogi,Mixed Breed,POINT (-71.1076 42.3653),42.36530,-71.10760,Cambridgeport
Kelp,Mixed Breed,POINT (-71.1088 42.368),42.36800,-71.10880,Riverside
Triscuit,Mixed Breed,POINT (-71.1485 42.3974),42.39740,-71.14850,North Cambridge
Shaka,Poodle,POINT (-71.1241 42.3922),42.39220,-71.12410,North Cambridge
BEN,MINIATURE  POODLE,POINT (-71.1251 42.3722),42.37220,-71.12510,West Cambridge
KATIE,Mixed Breed,POINT (-71.1062 42.3666),42.36660,-71.10620,Riverside
Leo,Australian Labradoodle,POINT (-71.1386 42.3856),42.38560,-71.13860,West Cambridge
Chance,Mixed Breed,POINT (-71.1038 42.373),42.37300,-71.10380,Mid-Cambridge
Sadie,Mixed Breed,POINT (-71.0878 42.3694),42.36940,-71.08780,East Cambridge
Maga,Shih Tzu Mix,POINT (-71.0842 42.3706),42.37060,-71.08420,East Cambridge
Rocco,Mixed Breed,POINT (-71.1131 42.3614),42.36140,-71.11310,Cambridgeport
Ana,Great Pyrenees,POINT (-71.1359 42.3758),42.37580,-71.13590,West Cambridge
Georgie,Mixed Breed,POINT (-71.0831 42.3687),42.36870,-71.08310,East Cambridge
